11/19/2012 14:43:07,2.7.x,1.6.x,0.10.x,MacPorts,High Energy Astrophysics
11/19/2012 14:45:05,2.7.x,1.6.x,0.11.x,MacPorts,Astrophysics
11/19/2012 14:49:39,2.7.x,1.6.x,0.9.x,Linux Package Manager,Astrophysics
11/19/2012 14:57:34,2.6.x,1.4.x,0.7.x,Linux Package Manager,astronomy
11/19/2012 14:58:12,2.7.x,1.6.x,0.9.x,installation maintained by computer group (I guess it's installed from source),astronomy
11/19/2012 14:59:54,2.7.x,1.5.x,0.9.x,Enthought Python Distribution,Astronomy
11/19/2012 15:03:53,2.7.x,1.6.x,0.10.x,Enthought Python Distribution,Astrophysics
11/19/2012 15:05:47,2.7.x,1.6.x,0.10.x,Linux Package Manager,High Energy Astrophysics
11/19/2012 15:07:01,2.7.x,1.6.x,0.10.x,Enthought Python Distribution,Astrophysics
11/19/2012 15:08:42,2.7.x,1.6.x,0.11.x,Installed from Source,Astronomy
11/19/2012 15:10:13,2.7.x,1.6.x,0.9.x,Linux Package Manager,astrophysics
11/19/2012 15:13:21,2.6.x,2.0/dev,0.10.x,Official binary installers (e.g. MacOS X DMG or official Windows installers),Astro
11/19/2012 15:14:29,2.7.x,1.6.x,0.9.x,"I have two installations. Linux package manager for one, and official MacOS X binary for the other.",Astronomy/Star Formation
11/19/2012 15:18:41,2.7.x,1.6.x,0.11.x,MacPorts,Astronomy
11/19/2012 15:20:10,2.7.x,1.6.x,0.10.x,Installed from Source,Solar Physics
11/19/2012 15:20:29,2.7.x,1.5.x,0.8.x,STSCI PYTHON,ASTRONOMY
11/19/2012 15:29:27,2.7.x,1.6.x,None,Installed from Source,astrophysics
11/19/2012 15:36:45,2.7.x,1.6.x,0.11.x,MacPorts,astronomy
11/19/2012 15:39:02,2.7.x,1.6.x,0.10.x,Enthought Python Distribution,Astrophysics
11/19/2012 15:43:33,2.7.x,1.6.x,0.10.x,Installed from Source,Solar Physics
11/19/2012 15:44:06,2.7.x,1.5.x,0.8.x,Space Telescope,astrophysics
11/19/2012 15:45:14,2.7.x,1.6.x,0.10.x,Enthought Python Distribution,Astronomy
11/19/2012 15:45:30,2.7.x,1.6.x,0.10.x,Linux Package Manager,Solar Physics
11/19/2012 15:46:30,2.6.x,,0.7.x,Don't know,astrophysics
11/19/2012 15:58:35,2.7.x,1.4.x,0.11.x,MacPorts,Cosmology
11/19/2012 15:58:39,2.7.x,1.5.x,0.10.x,Tom's guide in http://python4astronomers.github.com/local/cfa.html,X-RAY ASTRONOMY
11/19/2012 16:08:07,2.7.x,1.6.x,0.11.x,pip,astrophysics
11/19/2012 16:11:51,2.6.x,1.6.x,0.10.x,Installed from Source,Astronomy
11/19/2012 16:12:24,2.7.x,1.6.x,0.10.x,Linux Package Manager,supernova cosmology
11/19/2012 16:24:45,2.7.x,1.6.x,0.10.x,Official binary installers (e.g. MacOS X DMG or official Windows installers),astronomy
11/19/2012 16:28:04,2.7.x,1.6.x,0.10.x,Don't know,Astronomy
11/19/2012 16:32:29,2.7.x,1.6.x,0.10.x,Enthought Python Distribution,astronomy
11/19/2012 16:36:31,3.3.x,1.6.x,0.11.x,Linux Package Manager,Astronomy
11/19/2012 16:38:36,2.6.x,1.6.x,0.8.x,Don't know,Astronomy
11/19/2012 16:40:31,2.7.x,1.5.x,0.8.x,MacPorts,astrophysics
11/19/2012 16:41:44,2.7.x,1.6.x,0.10.x,Enthought Python Distribution,Astrophysics
11/19/2012 16:45:40,2.7.x,1.5.x,0.9.x,Enthought Python Distribution,Astrophysics
11/19/2012 16:50:56,2.7.x,1.5.x,0.9.x,Linux Package Manager,Astronomy
11/19/2012 16:50:56,2.7.x,1.6.x,0.10.x,Installed from Source,Astronomy
11/19/2012 16:58:08,2.7.x,1.6.x,0.9.x,Linux Package Manager,Astrophysics
11/19/2012 17:09:09,2.7.x,1.6.x,0.9.x,Linux Package Manager,Astronomy
11/19/2012 17:10:02,2.5.x,1.3,0.7.x,Installed from Source,astronomy
11/19/2012 17:15:45,2.7.x,1.6.x,0.11.x,MacPorts,astronomy
11/19/2012 17:16:47,2.6.x,1.6.x,0.9.x,installed by sysadmin form source,Astronomy
11/19/2012 17:17:19,2.7.x,1.6.x,0.10.x,Linux Package Manager,astronomy
11/19/2012 17:25:31,2.7.x,1.6.x,0.8.x,Don't know,astrophysics
11/19/2012 17:27:14,2.7.x,1.6.x,0.10.x,Installed from Source,astronomy
11/19/2012 17:31:52,2.7.x,1.6.x,0.10.x,Installed from Source,Astronomy
11/19/2012 18:03:27,2.6.x,1.6.x,0.10.x,fink,Astronomy/Cosmology
